Symbol,Rm-Rf %,SMB %,HML %,WML %,high-low,Adj-r_sq,const
QGOLDHALF,0.1728,0.1329,0.8419,0.5274,0.5266,0.013,0.7869
JPASSOCIAT,0.0008,0.0818,0.0,0.0003,0.0343,0.467,0.7846
HBLPOWER,0.0,0.0,0.0,0.1519,0.569,0.4302,0.5222
20MICRONS,0.0011,0.0373,0.7477,0.2675,0.0132,0.055,0.6295
NDTV,0.0001,0.001,0.0006,0.8065,0.5509,0.2681,0.6011
MBECL,0.0073,0.3724,0.0011,0.0563,0.6503,0.1519,0.4671
VIVIDHA,0.1611,0.4777,0.3564,0.3895,0.629,0.0106,0.6918
UNITECH,0.0682,0.333,0.0,0.8021,0.2473,0.5489,0.9304
SUTLEJTEX,0.0,0.0,0.0568,0.0709,0.9296,0.4068,0.3203
AMARAJABAT,0.0,0.368,0.8994,0.1005,0.6987,0.2127,0.509
WONDERLA,0.0006,0.2926,0.029,0.3423,0.9134,0.1506,0.2347
SBIN,0.0,0.0,0.1559,0.632,0.0815,0.5588,0.5712
PANACEABIO,0.0002,0.0003,0.0898,0.926,0.8295,0.1698,0.7275
SUBROS,0.0,0.0,0.0001,0.3516,0.4481,0.3188,0.3202
INDBANK,0.0062,0.0299,0.1393,0.2108,0.1715,0.0719,0.8505
MADHUCON,0.0,0.0015,0.0021,0.0634,0.2293,0.3567,0.0958
ONWARDTEC,0.0724,0.9697,0.1157,0.9431,0.4041,0.0684,0.1276
NAHARPOLY,0.1762,0.4409,0.3794,0.6768,0.4595,0.0272,0.2083
IDEA,0.0,0.3129,0.0477,0.0038,0.1034,0.1532,0.6436
TREEHOUSE,0.0047,0.1355,0.127,0.5423,0.7212,0.0427,0.0706
INDOSOLAR,0.002,0.0165,0.0117,0.788,0.8319,0.1469,0.3558
KAJARIACER,0.0,0.7518,0.1433,0.1328,0.2206,0.2405,0.0502
BBL,0.0,0.0004,0.1329,0.4958,0.0728,0.301,0.4521
SWARAJENG,0.0,0.2972,0.787,0.0168,0.1907,0.2574,0.8276
DREDGECORP,0.0,0.0001,0.0009,0.5374,0.7624,0.3889,0.8014
KRBL,0.0,0.0391,0.8835,0.761,0.3475,0.1918,0.0842
GEECEE,0.0005,0.039,0.0639,0.1017,0.2455,0.1247,0.0389
MOHOTAIND,0.3895,0.7508,0.0181,0.5165,0.8569,0.0448,0.0416
INDOTECH,0.0335,0.2128,0.0014,0.848,0.441,0.1482,0.669
HMT,0.0,0.0,0.0005,0.3468,0.2893,0.2606,0.7079
SHANTIGEAR,0.0,0.0,0.4273,0.7571,0.0756,0.2233,0.5879
JKLAKSHMI,0.0,0.0074,0.4288,0.5679,0.3219,0.2328,0.4939
OIL,0.0,0.8859,0.9651,0.0078,0.4172,0.1742,0.6398
FCONSUMER,0.0001,0.0005,0.0099,0.8436,0.6683,0.2345,0.1507
BHARATFORG,0.0,0.2554,0.7213,0.1405,0.6314,0.3217,0.9984
CELESTIAL,0.1304,0.0077,0.0536,0.7386,0.1376,0.0418,0.8943
IGL,0.0005,0.6409,0.388,0.7681,0.1248,0.1618,0.2285
IDFC,0.0167,0.4186,0.1295,0.4656,0.9465,0.0771,0.3315
JMFINANCIL,0.0,0.0492,0.0406,0.0579,0.6576,0.3243,0.9574
TRIVENI,0.0351,0.0001,0.0036,0.4189,0.7779,0.1385,0.3266
ZODIACLOTH,0.9801,0.1825,0.068,0.4472,0.3339,0.023,0.6613
PETRONET,0.0,0.2669,0.123,0.6477,0.1067,0.1465,0.159
VISASTEEL,0.0699,0.5094,0.0152,0.5317,0.6778,0.0685,0.6961
CYIENT,0.0019,0.7254,0.2503,0.7973,0.6018,0.0312,0.9285
PNBGILTS,0.0,0.5285,0.0103,0.0494,0.432,0.2359,0.9255
GREENPLY,0.0011,0.2135,0.759,0.1771,0.0623,0.1518,0.7253
ZEEMEDIA,0.0001,0.0008,0.0203,0.7834,0.8297,0.2168,0.641
MUTHOOTFIN,0.0,0.9123,0.9274,0.1683,0.171,0.1367,0.7447
BAJFINANCE,0.0,0.4753,0.1698,0.1763,0.0321,0.1803,0.0448
BASML,0.0003,0.0043,0.0399,0.6461,0.25,0.2112,0.467
KNRCON,0.0,0.0039,0.092,0.0041,0.7498,0.2935,0.2523
IBREALEST,0.0,0.1559,0.0,0.3162,0.5005,0.4625,0.2018
VOLTAMP,0.0001,0.0765,0.0001,0.7979,0.9308,0.2503,0.2386
KOTHARIPET,0.0003,0.002,0.0613,0.3199,0.1045,0.1279,0.2613
RATNAMANI,0.0001,0.0006,0.0959,0.3569,0.9266,0.1842,0.4862
FIEMIND,0.0,0.0002,0.0504,0.0917,0.0593,0.2667,0.8705
BALAJITELE,0.0,0.1144,0.0348,0.5929,0.6641,0.2472,0.0691
KOHINOOR,0.0029,0.0017,0.0644,0.0529,0.6372,0.153,0.5483
ELGIEQUIP,0.1382,0.005,0.0678,0.6571,0.1354,0.1037,0.5918
DABUR,0.0003,0.1398,0.3945,0.8394,0.0695,0.1814,0.4201
ASHOKLEY,0.0,0.6672,0.5986,0.0001,0.0402,0.4148,0.1076
SRTRANSFIN,0.0002,0.6634,0.9859,0.7951,0.9134,0.0951,0.7401
SUNDRMFAST,0.0,0.0305,0.3467,0.8344,0.7763,0.2143,0.8618
KOTARISUG,0.7528,0.0121,0.0091,0.6511,0.6297,0.0389,0.7281
IVC,0.0013,0.1787,0.3887,0.6717,0.7885,0.0855,0.6505
RBL,0.0,0.1311,0.3189,0.6365,0.6843,0.222,0.6375
ZYLOG,0.99,0.7295,0.0013,0.3254,0.0458,0.0979,0.9611
SYMPHONY,0.0001,0.0512,0.7871,0.0132,0.0371,0.2176,0.9328
NFL,0.0,0.0,0.0763,0.131,0.1027,0.2516,0.6378
UNITEDBNK,0.0035,0.3473,0.0,0.1519,0.0483,0.4064,0.0799
MINDACORP,0.0037,0.2404,0.0286,0.6191,0.4214,0.1052,0.6127
AGCNET,0.0014,0.0072,0.1434,0.9731,0.6516,0.1373,0.7878
MUKTAARTS,0.5194,0.1093,0.1863,0.5886,0.4173,0.0236,0.3134
NITCO,0.0007,0.0011,0.5991,0.8317,0.9011,0.1226,0.378
CENTURYTEX,0.0,0.0956,0.0004,0.0607,0.8097,0.4617,0.4567
NCLIND,0.0003,0.051,0.0069,0.5655,0.7795,0.1945,0.0111
ASTRAL,0.0098,0.029,0.0566,0.1513,0.1074,0.164,0.8346
RKFORGE,0.0,0.3554,0.2997,0.1033,0.2782,0.2839,0.2059
LGBFORGE,0.0663,0.0055,0.0927,0.5905,0.8777,0.0727,0.2444
IGARASHI,0.0,0.0016,0.0089,0.2755,0.5902,0.288,0.0806
JPOLYINVST,0.0328,0.0003,0.0014,0.6429,0.6893,0.1388,0.9974
KIRIINDUS,0.0067,0.1438,0.5801,0.3323,0.7549,0.0699,0.3586
RPOWER,0.0,0.0864,0.0,0.0001,0.9174,0.5749,0.1746
HINDCOPPER,0.0,0.0001,0.0677,0.0,0.7227,0.42,0.808
PENINLAND,0.0,0.2275,0.0,0.7903,0.4877,0.3271,0.7982
JAGRAN,0.0002,0.1432,0.3673,0.4092,0.2128,0.1673,0.4814
MTEDUCARE,0.0,0.003,0.1688,0.9829,0.046,0.2035,0.2317
ADSL,0.001,0.0,0.0124,0.2995,0.678,0.2278,0.4667
WOCKPHARMA,0.0,0.1645,0.6004,0.4015,0.4307,0.3417,0.2537
ESTER,0.0466,0.0001,0.0396,0.0228,0.9971,0.1171,0.0121
KTIL,0.0,0.0018,0.0111,0.0892,0.3739,0.2299,0.7492
APOLLOHOSP,0.0,0.8057,0.0443,0.4369,0.5555,0.2494,0.2255
SPMLINFRA,0.0,0.024,0.0101,0.7389,0.821,0.2243,0.9973
TANTIACONS,0.0048,0.0048,0.0081,0.1709,0.1095,0.1188,0.3291
AJANTPHARM,0.0116,0.1093,0.2424,0.014,0.8071,0.0871,0.5463
GILLETTE,0.0003,0.7419,0.3627,0.2397,0.0485,0.1413,0.2559
CLNINDIA,0.1526,0.0877,0.8623,0.8193,0.9886,0.0106,0.4263
PAPERPROD,0.0,0.019,0.0153,0.3772,0.3784,0.2372,0.3264
SUPERHOUSE,0.0002,0.0178,0.0014,0.0232,0.5608,0.2453,0.5898
MCDOWELL-N,0.0,0.0488,0.3215,0.3612,0.8698,0.1931,0.9223
GULFPETRO,0.0,0.0051,0.6513,0.413,0.7788,0.1478,0.1809
VOLTAS,0.0,0.5545,0.7117,0.3957,0.5979,0.2961,0.1102
HIMATSEIDE,0.0001,0.0,0.012,0.8832,0.1155,0.3044,0.1617
SWELECTES,0.0018,0.3725,0.0081,0.813,0.0991,0.2098,0.5382
KWALITY,0.0,0.0,0.0055,0.0626,0.5582,0.33,0.0256
BALLARPUR,0.001,0.0002,0.0001,0.7815,0.5639,0.2551,0.4588
JKIL,0.0956,0.3747,0.7905,0.7444,0.9848,0.003,0.8775
POLYMED,0.0684,0.5118,0.3354,0.351,0.9107,0.0068,0.5893
RSYSTEMS,0.0722,0.0019,0.0094,0.4355,0.0396,0.1708,0.7164
JYOTISTRUC,0.0011,0.0038,0.0006,0.1906,0.3104,0.1862,0.3147
RCOM,0.0,0.1485,0.0001,0.0345,0.5385,0.4004,0.2092
DALMIASUG,0.0153,0.4318,0.0549,0.0063,0.9846,0.1188,0.007
JUBLINDS,0.004,0.1541,0.2009,0.2551,0.0945,0.063,0.03
GODREJCP,0.0,0.4689,0.0021,0.5399,0.0402,0.1412,0.2467
PILITA,0.0,0.0054,0.7162,0.2713,0.1221,0.2,0.8621
GSFC,0.0001,0.014,0.0655,0.1449,0.6584,0.1728,0.5374
IL&FSTRANS,0.0,0.146,0.0061,0.8592,0.2159,0.26,0.0437
PPAP,0.0023,0.01,0.8621,0.0852,0.6279,0.1061,0.5606
APOLLOTYRE,0.0,0.1316,0.0902,0.2075,0.4798,0.3492,0.5084
VAIBHAVGBL,0.08,0.8009,0.2836,0.13,0.3357,0.0345,0.6763
ADVANIHOTR,0.0456,0.2357,0.4454,0.2808,0.842,0.0437,0.9562
ANSALAPI,0.0002,0.1765,0.0,0.1084,0.3143,0.301,0.8353
BODALCHEM,0.0,0.0005,0.0732,0.7338,0.8473,0.256,0.282
SUNTV,0.0011,0.5334,0.9797,0.7829,0.4342,0.0968,0.3997
HIL,0.0,0.0075,0.0952,0.7561,0.7231,0.2269,0.8952
EMAMIINFRA,0.0033,0.0047,0.046,0.6398,0.3953,0.1078,0.4692
PRAJIND,0.0,0.0499,0.1185,0.0842,0.4442,0.1991,0.3587
INDIANHUME,0.0001,0.0046,0.0109,0.105,0.4993,0.1898,0.6049
RENUKA,0.0227,0.0021,0.0027,0.0041,0.9927,0.1621,0.8862
GLENMARK,0.0,0.7761,0.6747,0.8375,0.8782,0.2153,0.2725
WHEELS,0.0023,0.0134,0.7351,0.7504,0.014,0.1573,0.9297
ELAND,0.0005,0.0198,0.0407,0.983,0.4762,0.1357,0.02
JKTYRE,0.0,0.0424,0.0006,0.2121,0.2045,0.3119,0.7773
WIPRO,0.0,0.2324,0.0001,0.0276,0.9141,0.2453,0.6423
CHAMBLFERT,0.0,0.0241,0.6934,0.4981,0.722,0.1502,0.8464
SIMPLEX,0.1622,0.0906,0.0004,0.8514,0.7821,0.1156,0.8818
BASF,0.0021,0.0012,0.0014,0.7073,0.0378,0.2624,0.344
ORIENTHOT,0.0123,0.2352,0.0454,0.2507,0.3085,0.0751,0.5813
KKCL,0.0922,0.9802,0.8392,0.9647,0.5861,0.001,0.3472
BAFNAPHARM,0.0013,0.0039,0.0074,0.5434,0.1667,0.1371,0.3805
INDOCO,0.0,0.2842,0.8046,0.0968,0.1375,0.1995,0.7447
MADHAV,0.0052,0.0,0.0176,0.2222,0.6898,0.1955,0.4154
GNFC,0.0,0.0135,0.0294,0.0131,0.7723,0.2039,0.589
TARAJEWELS,0.0,0.0,0.0222,0.7677,0.0254,0.1768,0.4991
THANGAMAYL,0.0461,0.0009,0.2067,0.0874,0.7402,0.0727,0.9857
GKWLIMITED,0.0125,0.0583,0.8276,0.3146,0.4607,0.0412,0.9148
BHARATRAS,0.0243,0.0,0.0618,0.1047,0.992,0.133,0.9779
MANUGRAPH,0.2164,0.0906,0.0314,0.4099,0.6498,0.0603,0.3966
HATSUN,0.0227,0.7319,0.8669,0.5208,0.1773,0.0594,0.1622
CAREERP,0.0002,0.0,0.1509,0.002,0.3055,0.2351,0.666
NCC,0.0,0.0014,0.0,0.0189,0.9595,0.3516,0.807
JBMA,0.0003,0.1089,0.0069,0.8324,0.5398,0.2059,0.6609
SQSBFSI,0.0005,0.0314,0.0262,0.7162,0.799,0.1704,0.1457
HARITASEAT,0.0001,0.3261,0.2383,0.6568,0.703,0.1368,0.0353
GATI,0.0,0.0,0.002,0.2045,0.233,0.3328,0.2001
LINDEINDIA,0.0002,0.0451,0.0764,0.0865,0.5601,0.1462,0.5129
ABBOTINDIA,0.3554,0.5272,0.6687,0.2634,0.5676,0.0071,0.0582
ZUARI,0.0,0.0,0.1011,0.1475,0.1173,0.2197,0.1511
DATAMATICS,0.0,0.0,0.0201,0.1431,0.0801,0.2688,0.8815
TALBROAUTO,0.0,0.0063,0.1669,0.8593,0.7506,0.201,0.7686
NAHARCAP,0.0,0.0133,0.2964,0.5353,0.8122,0.255,0.9637
BANKBEES,0.0,0.0,0.262,0.0001,0.4933,0.7465,0.1696
OISL,0.0096,0.0965,0.0057,0.3988,0.2578,0.1062,0.7208
ICRA,0.0001,0.9533,0.4924,0.9661,0.5106,0.1456,0.0442
VLSFINANCE,0.0073,0.2404,0.1736,0.0402,0.365,0.1223,0.3661
ANKITMETAL,0.2112,0.1812,0.5139,0.6081,0.8975,-0.002,0.3816
HINDPETRO,0.0,0.8435,0.1947,0.0007,0.4483,0.3107,0.0955
FINPIPE,0.0366,0.0088,0.0596,0.9526,0.7565,0.0911,0.6782
NEULANDLAB,0.0,0.0835,0.538,0.8803,0.6672,0.1707,0.2388
GOKEX,0.0,0.0002,0.0004,0.0607,0.5301,0.2755,0.6554
BALMLAWRIE,0.0,0.0002,0.0039,0.8167,0.8492,0.2991,0.9583
J&KBANK,0.0,0.457,0.6728,0.4499,0.3221,0.1371,0.2797
IFBIND,0.0007,0.95,0.1114,0.3585,0.3244,0.1613,0.7044
NAGAROIL,0.0014,0.0701,0.0697,0.1221,0.5529,0.1174,0.8143
ARCHIDPLY,0.0011,0.0,0.0,0.0295,0.702,0.2785,0.8158
JINDALPHOT,0.0017,0.0,0.1739,0.2332,0.9791,0.149,0.5888
ADORWELD,0.0,0.0351,0.987,0.1643,0.2338,0.1957,0.3041
MERCATOR,0.0,0.0,0.3386,0.3724,0.54,0.2521,0.9405
JINDALPOLY,0.0,0.0001,0.0001,0.2223,0.9759,0.3447,0.2121
PSUBNKBEES,0.0,0.0098,0.0027,0.5052,0.1649,0.4939,0.7984
GIPCL,0.0,0.0,0.0472,0.1546,0.3359,0.2366,0.8073
ZYDUSWELL,0.0002,0.5341,0.4404,0.8069,0.7984,0.1301,0.3803
PTC,0.0,0.0423,0.0,0.0655,0.6843,0.4459,0.7731
UPL,0.0,0.8027,0.4323,0.138,0.9689,0.1948,0.2951
TI,0.0011,0.0,0.0047,0.1676,0.1446,0.1721,0.8846
PGHH,0.006,0.3724,0.9458,0.0464,0.0018,0.1735,0.9877
JUSTDIAL,0.0,0.542,0.6649,0.6153,0.9423,0.1373,0.5092
VASCONEQ,0.0793,0.0172,0.0032,0.7155,0.0604,0.1674,0.3979
TATACHEM,0.0,0.5683,0.5022,0.2303,0.772,0.4326,0.8352
SPICEMOBI,0.019,0.7773,0.9154,0.5856,0.3612,0.0203,0.9914
REPRO,0.0061,0.0482,0.1687,0.058,0.4537,0.1269,0.5321
GRINDWELL,0.007,0.0003,0.2464,0.2125,0.2495,0.0831,0.3669
KARURVYSYA,0.0,0.7566,0.6117,0.7631,0.1964,0.1771,0.6804
AXISCADES,0.0001,0.0012,0.0141,0.1982,0.588,0.2338,0.4044
HOVS,0.0,0.0001,0.4046,0.0983,0.9505,0.2172,0.6327
DIVISLAB,0.0038,0.3049,0.1226,0.9083,0.9927,0.0327,0.6382
CUB,0.0,0.6184,0.0363,0.5126,0.7427,0.0912,0.7601
RUCHIRA,0.0001,0.3703,0.3275,0.5697,0.6367,0.1165,0.0765
DECCANCE,0.0001,0.0009,0.0017,0.2887,0.5482,0.2564,0.1441
JMCPROJECT,0.0,0.0005,0.0152,0.3159,0.3383,0.3213,0.4726
GUJAPOLLO,0.0001,0.1462,0.4272,0.5346,0.2321,0.1018,0.5119
SUNPHARMA,0.0,0.1717,0.0722,0.601,0.3967,0.1852,0.8975
SCHAEFFLER,0.0156,0.0068,0.0958,0.5344,0.1079,0.1484,0.5176
IFBAGRO,0.0003,0.0236,0.1118,0.7792,0.8238,0.1377,0.7817
EVEREADY,0.0,0.002,0.6335,0.6376,0.7892,0.3956,0.1271
ABAN,0.0,0.0,0.0163,0.2028,0.3905,0.3573,0.0206
BHUSANSTL,0.0147,0.0105,0.0939,0.0024,0.6615,0.1296,0.4788
VSTTILLERS,0.0015,0.1161,0.2455,0.9059,0.6354,0.0883,0.6565
THIRUSUGAR,0.568,0.0009,0.0132,0.5572,0.4522,0.0785,0.9644
NTL,0.0,0.0,0.0823,0.1612,0.009,0.1721,0.9612
KOTAKGOLD,0.677,0.6677,0.5814,0.4127,0.8469,-0.0127,0.2619
IPCALAB,0.01,0.1051,0.4637,0.6897,0.618,0.0741,0.8767
MEGH,0.0,0.0,0.0003,0.0204,0.9158,0.3027,0.8797
ICICINF100,0.7481,0.2437,0.5839,0.6876,0.5945,-0.004,0.5221
MHRIL,0.0001,0.0023,0.05,0.0795,0.2123,0.2385,0.0705
3MINDIA,0.0002,0.0142,0.2971,0.4795,0.0001,0.2984,0.1225
HDFC,0.0,0.0312,0.0038,0.1539,0.5629,0.4153,0.1025
GLOBUSSPR,0.0001,0.0001,0.0003,0.9954,0.271,0.2319,0.6865
TRIDENT,0.0001,0.0,0.0,0.3672,0.1699,0.3798,0.2834
RALLIS,0.0,0.406,0.716,0.8015,0.767,0.1402,0.8717
JKCEMENT,0.0003,0.6852,0.7972,0.6218,0.3524,0.1255,0.9413
KITEX,0.0001,0.0212,0.0074,0.2132,0.4666,0.232,0.4865
VGUARD,0.0,0.4674,0.0542,0.2148,0.7422,0.1922,0.7528
BANKBARODA,0.0441,0.4679,0.2432,0.9635,0.6407,0.0413,0.499
SAGCEM,0.0001,0.0345,0.3744,0.0209,0.857,0.1631,0.272
EASTSILK,0.4428,0.2997,0.3201,0.5092,0.5096,0.012,0.3233
KOTAKPSUBK,0.0,0.0001,0.1664,0.3805,0.4528,0.3788,0.9204
MAHSCOOTER,0.0,0.5145,0.393,0.4941,0.0591,0.1464,0.1235
SABTN,0.0004,0.3756,0.2451,0.1765,0.2492,0.0937,0.0117
MANAPPURAM,0.0,0.3487,0.1824,0.173,0.88,0.1765,0.9137
ELGIRUBCO,0.0704,0.0104,0.0542,0.5573,0.2012,0.1126,0.4704
BERGEPAINT,0.0511,0.6651,0.7525,0.7748,0.9038,0.0209,0.7627
CENTENKA,0.0,0.0003,0.0,0.8041,0.076,0.3606,0.5992
AXISGOLD,0.4747,0.372,0.4947,0.4155,0.6501,-0.0089,0.9497
HINDZINC,0.0,0.536,0.4931,0.2129,0.6637,0.2626,0.5711
BINANIIND,0.0,0.0008,0.0003,0.7775,0.8676,0.3698,0.497
BFUTILITIE,0.0,0.0001,0.0006,0.7828,0.4614,0.3925,0.9726
ORIENTBELL,0.0371,0.0001,0.0071,0.1209,0.2408,0.1836,0.6829
SUPREMEIND,0.0137,0.2884,0.3282,0.4963,0.2836,0.0901,0.3829
PIONDIST,0.0086,0.4935,0.4163,0.0486,0.5518,0.065,0.0
GICHSGFIN,0.0,0.8155,0.0353,0.0776,0.4825,0.346,0.4138
ICICINIFTY,0.2821,0.5894,0.9209,0.1095,0.3094,0.0062,0.442
POLARIS,0.0,0.0155,0.1003,0.9671,0.3597,0.2647,0.5678
MAYURUNIQ,0.0,0.6086,0.0184,0.6194,0.6179,0.1928,0.2201
HAVELLS,0.0,0.4164,0.5982,0.7897,0.6063,0.1923,0.4218
JAYNECOIND,0.0006,0.0001,0.0002,0.6203,0.9444,0.2405,0.6433
MOSERBAER,0.0002,0.0023,0.0012,0.6707,0.9552,0.2282,0.7126
IDBIGOLD,0.1308,0.4769,0.3653,0.8597,0.5975,-0.0075,0.8404
IZMO,0.0025,0.0166,0.0334,0.175,0.6584,0.1545,0.1099
63MOONS,0.0032,0.0016,0.0286,0.7818,0.3298,0.1732,0.2028
KOKUYOCMLN,0.0,0.0132,0.009,0.8166,0.3281,0.2615,0.2425
STERTOOLS,0.0,0.0066,0.1965,0.8353,0.066,0.1597,0.1688
DYNAMATECH,0.0043,0.7864,0.2535,0.085,0.0459,0.1578,0.6896
HMVL,0.0,0.1958,0.0065,0.5422,0.0396,0.1823,0.1155
TTKPRESTIG,0.2606,0.1411,0.501,0.7082,0.357,0.0263,0.4787
INDIAGLYCO,0.0,0.0007,0.0013,0.9843,0.2562,0.2982,0.8853
VIPCLOTHNG,0.0,0.0,0.0002,0.6581,0.2728,0.437,0.5447
DENORA,0.0001,0.0139,0.2386,0.2918,0.5376,0.1712,0.0555
AHLEAST,0.0001,0.5619,0.7175,0.4158,0.5631,0.1314,0.8362
NETWORK18,0.0,0.0002,0.0161,0.8995,0.8169,0.2963,0.7319
JAGSNPHARM,0.0001,0.0,0.001,0.2269,0.8804,0.2898,0.7113
BALRAMCHIN,0.0795,0.0001,0.0554,0.1065,0.2201,0.136,0.8355
CAPLIPOINT,0.0014,0.0244,0.1173,0.7627,0.7947,0.1298,0.0352
JUBILANT,0.0001,0.0449,0.1707,0.4594,0.6562,0.1461,0.029
EASUNREYRL,0.0,0.0001,0.0385,0.8863,0.6201,0.2412,0.7834
BBTC,0.0,0.0079,0.0838,0.052,0.4534,0.3607,0.6194
SUPPETRO,0.0001,0.0005,0.0053,0.4827,0.5072,0.2103,0.2219
MAHLIFE,0.0058,0.7571,0.04,0.7365,0.4861,0.0934,0.5405
RELCAPITAL,0.0,0.1284,0.0,0.0296,0.9231,0.5316,0.4149
AJMERA,0.0002,0.1178,0.0,0.6745,0.9388,0.2712,0.1057
EMCO,0.0,0.0002,0.0129,0.0786,0.4716,0.2609,0.9967
HDFCBANK,0.0,0.0002,0.1576,0.0187,0.9482,0.5184,0.0209
GREENPOWER,0.0,0.0031,0.0031,0.2911,0.7955,0.279,0.709
INTELLECT,0.0001,0.0044,0.0038,0.1093,0.2252,0.2674,0.0653
VADILALIND,0.0,0.0961,0.2407,0.4714,0.8731,0.2012,0.06
ENGINERSIN,0.0,0.0105,0.2999,0.1855,0.2373,0.4535,0.4113
INGERRAND,0.0001,0.0413,0.001,0.3209,0.3977,0.256,0.9797
ARCHIES,0.0,0.0,0.0007,0.224,0.1415,0.2752,0.7717
TWL,0.0221,0.0421,0.1545,0.387,0.8676,0.0695,0.9431
BLKASHYAP,0.0009,0.0042,0.0015,0.1079,0.4244,0.1839,0.2455
FMNL,0.1741,0.0021,0.0135,0.0778,0.5512,0.079,0.0692
DISHTV,0.0,0.3603,0.0526,0.1766,0.8856,0.2632,0.054
AARVEEDEN,0.0035,0.0011,0.0707,0.8977,0.5825,0.1491,0.7114
BIOCON,0.0,0.2839,0.0691,0.4944,0.3498,0.3643,0.1421
KTKBANK,0.0,0.0056,0.0005,0.1466,0.7774,0.4989,0.4742
JMTAUTOLTD,0.2875,0.2129,0.6224,0.5053,0.4424,0.0172,0.7182
BHEL,0.0,0.3648,0.1499,0.8306,0.9119,0.2766,0.5483
LUMAXIND,0.0004,0.0042,0.2718,0.6779,0.3889,0.1643,0.9446
SUPERSPIN,0.3246,0.0196,0.0037,0.5596,0.6268,0.0833,0.4917
RML,0.0075,0.0275,0.0243,0.4726,0.4475,0.101,0.6927
MANGLMCEM,0.0,0.0,0.7677,0.0957,0.0553,0.293,0.0776
SANOFI,0.0001,0.3534,0.1203,0.5847,0.4048,0.1026,0.283
GRANULES,0.0043,0.0003,0.0721,0.8913,0.1576,0.1015,0.5566
RADICO,0.017,0.0004,0.019,0.8816,0.5384,0.1464,0.5086
MCLEODRUSS,0.0,0.0324,0.4288,0.0062,0.4357,0.2587,0.6826
CENTRALBK,0.0,0.5302,0.2683,0.057,0.7141,0.1822,0.9722
GARWALLROP,0.0,0.0017,0.2526,0.739,0.7601,0.2199,0.1024
BANKINDIA,0.0,0.0002,0.0003,0.2435,0.3,0.5376,0.2364
SAKHTISUG,0.2854,0.0044,0.0001,0.2676,0.899,0.1249,0.1469
COALINDIA,0.0,0.1506,0.2256,0.2912,0.0221,0.2056,0.4923
VENUSREM,0.007,0.0016,0.1775,0.65,0.156,0.1492,0.2922
BOMDYEING,0.0,0.0074,0.0002,0.6601,0.0359,0.4109,0.6231
PARABDRUGS,0.1014,0.0008,0.0251,0.4219,0.9132,0.0867,0.9226
AARTIDRUGS,0.0001,0.0163,0.1267,0.2869,0.1048,0.1314,0.8217
WABCOINDIA,0.0,0.0228,0.5133,0.6085,0.0004,0.3073,0.5436
SANDESH,0.0154,0.1459,0.0201,0.7824,0.1152,0.1555,0.0825
ALEMBICLTD,0.0,0.0002,0.0004,0.7264,0.5189,0.383,0.6194
DCW,0.0003,0.0,0.0006,0.0478,0.6986,0.2544,0.3561
MPSLTD,0.0,0.4764,0.3204,0.0708,0.2926,0.1509,0.9361
TOKYOPLAST,0.1635,0.0003,0.0109,0.2025,0.6585,0.1083,0.5498
SURANAT&P,0.0523,0.3779,0.2676,0.2285,0.5952,0.0564,0.8837
TVSMOTOR,0.0,0.2965,0.8281,0.4032,0.7817,0.1552,0.4589
TAKE,0.0,0.4271,0.0157,0.0627,0.1153,0.2989,0.0619
HFCL,0.0,0.0038,0.0,0.0753,0.9321,0.3026,0.4304
TCIFINANCE,0.0021,0.0142,0.0298,0.8106,0.7448,0.1296,0.7066
INDHOTEL,0.0044,0.0526,0.0671,0.6522,0.1785,0.08,0.9428
BSELINFRA,0.002,0.0451,0.0074,0.4944,0.3472,0.1342,0.6947
PROZONINTU,0.0,0.0001,0.0003,0.8585,0.1681,0.2884,0.7245
EVERESTIND,0.0001,0.0015,0.0652,0.6633,0.9984,0.1768,0.8056
HONDAPOWER,0.0,0.5391,0.0488,0.1043,0.0744,0.3078,0.2247
NSIL,0.0672,0.2073,0.5901,0.4196,0.7921,0.0305,0.8993
EMKAY,0.8567,0.2888,0.0702,0.6907,0.4818,0.0167,0.2937
GTL,0.0009,0.0,0.0,0.3278,0.3013,0.4189,0.8033
UFLEX,0.0,0.0,0.0,0.4181,0.0561,0.4257,0.5742
ORCHIDPHAR,0.0,0.0,0.0235,0.0402,0.9432,0.3168,0.9249
SESHAPAPER,0.0004,0.3062,0.9232,0.4979,0.1895,0.0557,0.6304
FLEXITUFF,0.061,0.0444,0.5155,0.2668,0.5704,0.0582,0.5482
ARCOTECH,0.1041,0.7756,0.7078,0.9545,0.9456,0.0115,0.6374
KANORICHEM,0.0001,0.0,0.0045,0.6442,0.6206,0.2679,0.2062
MOIL,0.0003,0.0018,0.0656,0.0214,0.4552,0.1568,0.1476
NESTLEIND,0.0881,0.5082,0.6762,0.9328,0.0211,0.0626,0.954
AUROPHARMA,0.0009,0.2438,0.3687,0.1313,0.8975,0.1146,0.7558
BLUEDART,0.0,0.1849,0.2223,0.3548,0.2952,0.1744,0.9483
EXCELCROP,0.0192,0.1657,0.0761,0.4371,0.4578,0.1019,0.913
ATLANTA,0.0,0.0118,0.001,0.2839,0.5591,0.2518,0.7925
TATAGLOBAL,0.0,0.0176,0.0102,0.6253,0.0551,0.5211,0.7984
GUJFLUORO,0.0,0.002,0.8621,0.1536,0.128,0.183,0.2019
