Adj-r_sq,HML %,Rm-Rf %,SMB %,Symbol,WML %,const,ent,high-low
0.3112,0.0058,0.0,0.032,BALMLAWRIE,0.4045,0.1937,,0.1261
0.019,0.196,0.3738,0.1646,J&KBANK,0.972,0.4883,,0.808
0.1391,0.5965,0.0001,0.0051,IFBIND,0.1636,0.0277,,0.8709
0.3907,0.0,0.0068,0.0019,MERCATOR,0.3339,0.6623,,0.1908
0.3256,0.0023,0.0001,0.1357,JINDALPOLY,0.4199,0.7015,,0.2094
0.3733,0.0003,0.0001,0.0046,PSUBNKBEES,0.0073,0.0614,,0.7345
0.4058,0.0057,0.0,0.086,GIPCL,0.0956,0.8827,,0.794
0.0328,0.6275,0.3573,0.0348,ZYDUSWELL,0.52,0.3553,,0.9171
0.5552,0.0004,0.0,0.7122,PTC,0.3122,0.8067,,0.1439
0.1737,0.2786,0.0,0.6788,UPL,0.5809,0.2749,,0.2113
0.221,0.0022,0.0075,0.1595,TI,0.2217,0.0184,,0.8606
0.0562,0.0913,0.0002,0.0084,PGHH,0.7684,0.0422,,0.3474
0.0659,0.3766,0.0595,0.4439,JUSTDIAL,0.0699,0.5733,,0.0129
0.392,0.0744,0.0,0.6637,TATACHEM,0.6601,0.4035,,0.1741
0.1091,0.5921,0.0136,0.0267,REPRO,0.1047,0.5053,,0.7906
0.1804,0.03,0.0003,0.493,GRINDWELL,0.0212,0.0159,,0.1604
0.3434,0.419,0.0,0.0215,KARURVYSYA,0.0921,0.2429,,0.8543
0.1638,0.0307,0.0,0.0001,DIVISLAB,0.0354,0.7553,,0.4957
0.1665,0.19,0.0004,0.6367,CUB,0.6487,0.0587,,0.8481
0.1212,0.1159,0.0197,0.5265,GUJAPOLLO,0.2575,0.7257,,0.8509
0.0241,0.0222,0.0151,0.2074,SUNPHARMA,0.2358,0.2534,,0.8242
0.0783,0.5176,0.0012,0.7931,SCHAEFFLER,0.7402,0.0101,,0.3749
0.1938,0.3341,0.0002,0.0135,ABAN,0.5584,0.7954,,0.9253
0.0333,0.5492,0.0254,0.8181,BHUSANSTL,0.0982,0.0012,,0.0947
0.0722,0.3624,0.0473,0.1913,KOTAKGOLD,0.0019,0.5024,,0.1157
0.0884,0.2896,0.4051,0.2048,IPCALAB,0.0001,0.9488,,0.7402
0.3375,0.001,0.0005,0.0126,MHRIL,0.3689,0.3086,,0.537
0.191,0.8327,0.0037,0.0025,3MINDIA,0.3962,0.3797,,0.0016
0.2172,0.1269,0.0,0.6489,HDFC,0.0523,0.2455,,0.7563
0.2718,0.8911,0.0,0.0001,GLOBUSSPR,0.2804,0.0455,,0.4911
0.2218,0.0198,0.0073,0.0134,TRIDENT,0.5241,0.9388,,0.5526
0.1285,0.8979,0.0,0.2523,RALLIS,0.9982,0.9655,,0.9646
0.2162,0.0506,0.0008,0.7057,JKCEMENT,0.0095,0.0037,,0.5318
0.0676,0.273,0.1924,0.3486,KITEX,0.1448,0.0078,,0.427
0.1738,0.2269,0.0,0.7279,VGUARD,0.0255,0.0134,,0.0161
0.487,0.0,0.0,0.0,BANKBARODA,0.2573,0.041,,0.5217
0.5502,0.0009,0.0,0.0031,KOTAKPSUBK,0.0007,0.0669,,0.7037
0.0589,0.6248,0.0034,0.0248,MAHSCOOTER,0.5072,0.0398,,0.5615
0.0598,0.9274,0.0181,0.7142,SABTN,0.446,0.0263,,0.173
0.0864,0.7769,0.0023,0.5786,MANAPPURAM,0.0658,0.3116,,0.7687
0.1804,0.0521,0.0001,0.9471,ELGIRUBCO,0.015,0.6234,,0.2611
0.0462,0.5572,0.0315,0.0929,BERGEPAINT,0.903,0.2406,,0.1913
0.3511,0.3379,0.0,0.0006,CENTENKA,0.9265,0.1772,,0.381
0.0324,0.531,0.1495,0.2935,AXISGOLD,0.02,0.6739,,0.2662
0.3318,0.4792,0.0,0.3263,HINDZINC,0.1462,0.6156,,0.3567
0.0408,0.7961,0.0968,0.1855,SUPREMEIND,0.956,0.4342,,0.3529
0.3647,0.0456,0.0,0.1852,GICHSGFIN,0.0223,0.0913,,0.5044
0.062,0.7148,0.7028,0.1762,MAYURUNIQ,0.0041,0.7882,,0.1273
0.0257,0.3772,0.0925,0.8258,HAVELLS,0.3071,0.6186,,0.5765
0.416,0.0001,0.0,0.0025,JAYNECOIND,0.9206,0.4897,,0.761
0.0373,0.696,0.1548,0.9629,IDBIGOLD,0.2911,0.7468,,0.2409
0.0867,0.2185,0.0006,0.0015,63MOONS,0.5104,0.5231,,0.8667
0.1107,0.1579,0.0014,0.7872,HMVL,0.4752,0.0744,,0.1089
0.1867,0.988,0.0,0.0162,TTKPRESTIG,0.2419,0.6353,,0.0429
0.3844,0.0028,0.0,0.0407,INDIAGLYCO,0.2019,0.33,,0.2956
0.1486,0.149,0.0047,0.0128,VIPCLOTHNG,0.7063,0.4561,,0.463
0.1278,0.536,0.0324,0.0021,DENORA,0.2296,0.5219,,0.4798
0.1736,0.0579,0.0525,0.3133,AHLEAST,0.0038,0.6235,,0.5487
0.1086,0.2902,0.0034,0.1771,BALRAMCHIN,0.592,0.754,,0.3484
0.1187,0.036,0.0596,0.095,JUBILANT,0.6576,0.6627,,0.3982
0.2137,0.7019,0.0,0.5307,BBTC,0.6922,0.1693,,0.2913
0.1653,0.3567,0.0001,0.0582,SUPPETRO,0.0814,0.7065,,0.6085
0.1127,0.2792,0.0024,0.2618,MAHLIFE,0.3991,0.7829,,0.7655
0.5871,0.0,0.0,0.0244,RELCAPITAL,0.14,0.5278,,0.4431
0.3256,0.2094,0.0,0.0023,HDFCBANK,0.8001,0.0493,,0.7678
0.1924,0.6425,0.0003,0.0026,VADILALIND,0.0431,0.8226,,0.6736
0.2328,0.0551,0.0001,0.7656,ENGINERSIN,0.6475,0.6719,,0.4889
0.1708,0.3652,0.0001,0.0561,INGERRAND,0.0983,0.2446,,0.6623
0.3123,0.0008,0.0012,0.0103,ARCHIES,0.8018,0.9391,,0.835
0.3475,0.0014,0.0,0.1731,DISHTV,0.8596,0.9467,,0.6709
0.2383,0.0017,0.1184,0.0147,AARVEEDEN,0.274,0.634,,0.4645
0.1907,0.6075,0.0,0.0003,BIOCON,0.0641,0.1921,,0.2921
0.5583,0.0,0.0,0.0,KTKBANK,0.1272,0.3478,,0.7346
0.3826,0.2792,0.0,0.7411,BHEL,0.2748,0.5245,,0.0401
0.1198,0.3274,0.0275,0.0722,LUMAXIND,0.0827,0.9804,,0.2455
0.1854,0.2419,0.0019,0.0318,RML,0.231,0.1043,,0.3717
0.3553,0.0133,0.0,0.0347,MANGLMCEM,0.112,0.0419,,0.3982
0.002,0.85,0.1074,0.8626,SANOFI,0.4382,0.3154,,0.2095
0.1172,0.6765,0.0114,0.0009,GRANULES,0.2625,0.061,,0.1741
0.2067,0.0676,0.0045,0.1257,RADICO,0.2114,0.0366,,0.0736
0.245,0.1932,0.0,0.0158,MCLEODRUSS,0.3443,0.042,,0.8926
0.3706,0.0071,0.0,0.1213,CENTRALBK,0.4037,0.1381,,0.7622
0.0756,0.051,0.1057,0.8626,GARWALLROP,0.0473,0.0136,,0.7669
0.2047,0.0574,0.0125,0.1016,ASAHISONG,0.1426,0.6228,,0.0379
0.5634,0.0,0.0,0.0,BANKINDIA,0.003,0.5215,,0.9576
0.3783,0.1285,0.0,0.9344,COALINDIA,0.0,0.7817,,0.2611
0.1357,0.0471,0.0116,0.2062,VENUSREM,0.232,0.545,,0.6369
0.547,0.0154,0.0,0.0016,BOMDYEING,0.0081,0.0545,,0.985
0.1565,0.9046,0.0004,0.0012,AARTIDRUGS,0.0465,0.0318,,0.9564
0.0603,0.53,0.0134,0.0042,WABCOINDIA,0.1131,0.0322,,0.5004
0.2204,0.1434,0.0006,0.0162,ALEMBICLTD,0.5211,0.4287,,0.4029
0.3881,0.0008,0.0,0.0081,DCW,0.304,0.7975,,0.6606
0.101,0.6125,0.0013,0.1105,MPSLTD,0.0004,0.1138,,0.7858
0.119,0.3182,0.0137,0.6349,TVSMOTOR,0.0019,0.0134,,0.3165
0.0799,0.1195,0.0705,0.3796,TAKE,0.0346,0.4288,,0.8363
0.0968,0.6973,0.0045,0.0837,INDHOTEL,0.1186,0.0858,,0.6221
0.4509,0.0004,0.0,0.0246,UFLEX,0.0445,0.4739,,0.8792
0.0429,0.7862,0.1769,0.8387,FLEXITUFF,0.0129,0.8459,,0.1807
0.2502,0.0145,0.0001,0.1822,KANORICHEM,0.4801,0.9901,,0.7723
0.3001,0.1456,0.0,0.0264,MOIL,0.6467,0.7544,,0.2792
0.0561,0.6086,0.0161,0.6459,NESTLEIND,0.5099,0.4926,,0.1461
0.0947,0.1091,0.0042,0.0112,AUROPHARMA,0.0111,0.0443,,0.2169
0.083,0.906,0.1204,0.707,BLUEDART,0.0591,0.1906,,0.0058
0.322,0.9864,0.0,0.013,ATLANTA,0.3611,0.6371,,0.2784
0.4054,0.0374,0.0,0.4105,TATAGLOBAL,0.4522,0.2126,,0.7568
0.1385,0.0821,0.0021,0.4166,GUJFLUORO,0.7393,0.0028,,0.1408
0.0925,0.2066,0.0001,0.0308,CIPLA,0.2689,0.2892,,0.7432
0.2739,0.1349,0.0,0.0044,HEG,0.5713,0.4239,,0.242
0.1556,0.4427,0.0002,0.0,PCJEWELLER,0.9241,0.6205,,0.4779
0.1809,0.1751,0.0003,0.1494,GDL,0.0951,0.035,,0.2157
0.0872,0.7614,0.0013,0.1237,FEL,0.7135,0.8689,,0.5656
0.0807,0.457,0.0057,0.9033,RELIGARE,0.4707,0.6153,,0.6098
0.5521,0.0018,0.0,0.1239,NHPC,0.0002,0.2076,,0.2939
0.2758,0.0139,0.0001,0.0665,GAEL,0.3597,0.7063,,0.5031
0.3747,0.0003,0.0,0.0,SAIL,0.5117,0.4988,,0.515
0.1433,0.6866,0.0001,0.7954,HONAUT,0.8119,0.0022,,0.9009
0.1435,0.704,0.0005,0.0037,PHOENIXLTD,0.6128,0.4636,,0.8798
0.0764,0.1132,0.0005,0.0416,COLPAL,0.0337,0.5397,,0.7962
0.0618,0.0089,0.6547,0.1999,FMGOETZE,0.4444,0.0406,,0.4817
0.3905,0.0003,0.0,0.0895,PRATIBHA,0.6698,0.5408,,0.0012
0.1859,0.0059,0.4109,0.0018,RJL,0.9596,0.7941,,0.9479
0.1757,0.867,0.017,0.0,XCHANGING,0.1799,0.3463,,0.0242
0.1628,0.7691,0.0001,0.1252,RAJESHEXPO,0.1965,0.7579,,0.3176
0.1211,0.4156,0.008,0.0002,BLISSGVS,0.1568,0.9181,,0.2283
0.1636,0.3704,0.0063,0.011,BANCOINDIA,0.7642,0.2383,,0.1446
0.5179,0.0,0.0,0.0743,ADANIPOWER,0.7146,0.8201,,0.9924
0.1901,0.2017,0.0001,0.0102,ALLCARGO,0.4528,0.1278,,0.3716
0.5961,0.0,0.0,0.0014,RELINFRA,0.1451,0.8726,,0.4483
0.7537,0.0003,0.0,0.0428,KOTAKNIFTY,0.7664,0.0244,,0.4017
0.1348,0.0069,0.3101,0.2623,GESHIP,0.0005,0.6942,,0.8612
0.2008,0.1099,0.0,0.3396,OMAXE,0.8889,0.9611,,0.5626
0.1097,0.1228,0.0045,0.3126,NDL,0.1047,0.0868,,0.1817
0.2624,0.0,0.0229,0.188,KCP,0.4948,0.0694,,0.3464
0.16,0.1517,0.0005,0.9228,BEL,0.9635,0.0197,,0.9934
0.3275,0.3825,0.0,0.0006,PFS,0.9008,0.027,,0.8504
0.0118,0.6077,0.1856,0.4139,ECLERX,0.0237,0.4977,,0.5216
0.2302,0.0015,0.0423,0.1254,GRAPHITE,0.824,0.874,,0.3692
0.1964,0.0231,0.009,0.026,MORARJEE,0.965,0.8128,,0.9629
0.0223,0.7395,0.0421,0.7609,SWANENERGY,0.4454,0.1361,,0.9
0.0497,0.634,0.0248,0.9149,BALPHARMA,0.0948,0.1594,,0.7965
0.0312,0.055,0.5201,0.1349,OMKARCHEM,0.7022,0.1548,,0.9901
0.2935,0.1014,0.0,0.0055,LUMAXTECH,0.308,0.0965,,0.7813
0.1479,0.0537,0.0111,0.0364,SRSLTD,0.0992,0.255,,0.3168
0.4334,0.0,0.0,0.0117,MAHABANK,0.0505,0.4936,,0.7377
0.1274,0.1233,0.0439,0.0513,TTL,0.066,0.6951,,0.6074
0.1307,0.8136,0.0011,0.9986,GET&D,0.0133,0.0356,,0.9675
0.1435,0.1804,0.0004,0.7522,LAKSHVILAS,0.9146,0.8267,,0.4239
0.1079,0.0353,0.1008,0.6024,MMFL,0.5805,0.0053,,0.7958
0.0421,0.5398,0.0029,0.2113,KANSAINER,0.8558,0.0937,,0.7127
0.0833,0.9414,0.0612,0.0066,UNICHEMLAB,0.1793,0.9587,,0.3684
0.2159,0.2266,0.0,0.0004,COROMANDEL,0.0215,0.7063,,0.5509
0.1233,0.6323,0.0047,0.0367,TRIGYN,0.0015,0.5526,,0.9703
0.4134,0.0111,0.0,0.0002,JSWSTEEL,0.4398,0.8882,,0.1323
0.0237,0.8926,0.133,0.9448,VAKRANGEE,0.2613,0.2185,,0.5024
0.1778,0.0074,0.0453,0.3973,EXCELINDUS,0.0617,0.0261,,0.285
0.1741,0.7627,0.0,0.0012,TBZ,0.5559,0.3702,,0.5523
0.0036,0.6613,0.4305,0.5798,INFRATEL,0.4568,0.0442,,0.7019
0.1236,0.8327,0.0029,0.0065,KPIT,0.001,0.8944,,0.2803
0.3088,0.0,0.0059,0.3398,MADRASFERT,0.678,0.4576,,0.1848
0.1136,0.165,0.0016,0.4848,REPCOHOME,0.1366,0.0367,,0.1997
0.1709,0.0107,0.0829,0.098,HUBTOWN,0.0951,0.6933,,0.6121
0.4812,0.0042,0.0,0.0067,RECLTD,0.4143,0.376,,0.3815
0.19,0.0278,0.0006,0.9866,SIMPLEXINF,0.2618,0.0346,,0.9798
0.3492,0.0069,0.0,0.0048,TTML,0.1878,0.3115,,0.959
0.6108,0.0,0.0,0.0,CANBK,0.0003,0.1563,,0.6387
0.1728,0.0828,0.3462,0.054,SORILINFRA,0.0374,0.65,,0.0051
0.1339,0.4888,0.0004,0.2316,NILKAMAL,0.7981,0.1298,,0.9065
0.0755,0.7651,0.0074,0.4281,SUNDARMFIN,0.0064,0.0088,,0.3526
0.1776,0.1615,0.0016,0.0246,TIMETECHNO,0.4841,0.8804,,0.6918
0.4101,0.0043,0.0,0.171,L&TFH,0.6844,0.2696,,0.0409
0.0213,0.9329,0.1273,0.6774,LIQUIDBEES,0.046,0.0,,0.0111
0.4631,0.0019,0.0,0.0001,SCI,0.0154,0.5954,,0.7422
0.0637,0.2657,0.0036,0.3867,PIIND,0.4101,0.2633,,0.1464
0.0664,0.7691,0.012,0.2483,BAJAJHLDNG,0.1447,0.1327,,0.6025
0.0076,0.4097,0.526,0.7694,ASTRAZEN,0.829,0.9069,,0.4784
0.3504,0.2517,0.0,0.0,MIRZAINT,0.7413,0.4891,,0.703
0.2484,0.034,0.0001,0.1291,SURYAROSNI,0.8891,0.9324,,0.594
0.0246,0.4001,0.0313,0.0257,SUNDARAM,0.2629,0.002,,0.4854
0.1248,0.0503,0.0544,0.2813,VESUVIUS,0.9244,0.2651,,0.5823
0.3211,0.0018,0.001,0.0825,DIAPOWER,0.1123,0.5721,,0.2633
0.3473,0.002,0.0,0.0023,VEDL,0.3747,0.7371,,0.3748
0.3204,0.0202,0.0,0.2924,EXIDEIND,0.3172,0.4614,,0.3171
0.0771,0.292,0.0154,0.0547,KSCL,0.0283,0.3402,,0.076
0.1323,0.9537,0.0,0.1266,FINCABLES,0.3868,0.0435,,0.6126
0.5077,0.0,0.0,0.0604,BGRENERGY,0.0055,0.9051,,0.1634
0.0887,0.0264,0.4982,0.1026,TECHNO,0.864,0.0089,,0.6798
0.4278,0.0552,0.0,0.0016,APTECHT,0.3878,0.0431,,0.3023
0.2015,0.3963,0.0001,0.0028,NOIDATOLL,0.7933,0.6643,,0.8494
0.0142,0.0848,0.8055,0.0135,LYPSAGEMS,0.6595,0.4607,,0.7969
0.2625,0.7149,0.0,0.2962,GRASIM,0.1525,0.7871,,0.0633
0.052,0.7775,0.0757,0.2313,SUNTECK,0.0218,0.8773,,0.2033
0.5647,0.0,0.0,0.0,UCOBANK,0.1092,0.7528,,0.9861
0.088,0.5642,0.0426,0.0111,PDPL,0.4274,0.1669,,0.7339
0.2202,0.0574,0.0,0.452,KOTAKBANK,0.1215,0.0581,,0.5665
0.0456,0.8385,0.1116,0.018,DICIND,0.4385,0.767,,0.9135
-0.0068,0.9854,0.2944,0.5062,RAJTV,0.3615,0.3085,,0.1772
0.2061,0.5936,0.0,0.0108,ASHOKA,0.2085,0.5987,,0.4634
0.237,0.5457,0.0,0.0147,MAHSEAMLES,0.2805,0.9264,,0.4201
0.1745,0.1719,0.026,0.0024,BHARATGEAR,0.7157,0.7061,,0.2407
0.1868,0.1569,0.0002,0.2533,ORIENTCEM,0.0935,0.0072,,0.2051
0.271,0.2739,0.0,0.0086,GMDCLTD,0.0042,0.7414,,0.101
0.2151,0.0159,0.0073,0.0593,INSECTICID,0.0186,0.0243,,0.4964
0.2778,0.7748,0.0,0.0,FSL,0.0,0.8515,,0.7535
0.3504,0.6727,0.0,0.2531,TATAMTRDVR,0.0008,0.1807,,0.0322
0.3414,0.2801,0.0,0.0122,KOLTEPATIL,0.0036,0.6182,,0.1547
0.2348,0.3494,0.0,0.0058,DOLPHINOFF,0.0765,0.4822,,0.0005
0.1737,0.0164,0.0216,0.2815,PRESTIGE,0.2253,0.3555,,0.3772
0.1846,0.0121,0.1309,0.2634,INFINITE,0.0285,0.7898,,0.032
0.1937,0.0625,0.0027,0.0333,INOXLEISUR,0.5741,0.5719,,0.9793
0.5448,0.0,0.0,0.0001,UNIONBANK,0.0009,0.0899,,0.4128
0.0961,0.0638,0.4239,0.3403,ALCHEM,0.0212,0.5129,,0.8416
0.0765,0.8156,0.0012,0.1613,GRAVITA,0.808,0.5801,,0.1317
0.2593,0.0176,0.0,0.7239,SJVN,0.3207,0.5603,,0.0113
0.0448,0.5269,0.3026,0.2309,TORNTPHARM,0.1384,0.0111,,0.2147
0.1598,0.1404,0.0102,0.0985,CHOLAFIN,0.0138,0.1288,,0.5847
0.0981,0.1143,0.0009,0.0006,ATUL,0.4272,0.2005,,0.2595
0.1627,0.0087,0.8113,0.9879,APCOTEXIND,0.3113,0.0278,,0.0
0.3519,0.287,0.0,0.0,BINDALAGRO,0.0684,0.2351,,0.2765
0.1453,0.5402,0.0001,0.4805,ASIANPAINT,0.3392,0.2519,,0.0602
0.0522,0.0125,0.1913,0.0029,GODFRYPHLP,0.1811,0.0808,,0.0131
0.0577,0.1108,0.1776,0.7342,MANINFRA,0.5642,0.6386,,0.8993
0.258,0.0276,0.0064,0.0066,BROOKS,0.547,0.6735,,0.059
0.229,0.0306,0.0006,0.2753,EIDPARRY,0.1719,0.4695,,0.9355
0.1238,0.019,0.0665,0.7397,GEPIL,0.2488,0.0994,,0.8111
0.3624,0.0002,0.0002,0.2819,NOCIL,0.0171,0.3734,,0.0661
0.2667,0.0081,0.0022,0.0356,HCL-INSYS,0.9911,0.52,,0.2885
0.1526,0.0377,0.0753,0.0949,ORIENTABRA,0.6677,0.9644,,0.2342
0.2879,0.0215,0.0,0.0442,JKPAPER,0.835,0.4886,,0.8281
0.0946,0.2717,0.0403,0.3567,ICICIGOLD,0.0001,0.4533,,0.0966
0.0913,0.8245,0.1443,0.1984,SHILPAMED,0.0117,0.0565,,0.028
0.3254,0.0012,0.0,0.9315,SOUTHBANK,0.849,0.5094,,0.6656
0.3865,0.0,0.0057,0.0588,ANSALHSG,0.0599,0.8206,,0.5476
0.0872,0.2356,0.7064,0.1384,HIKAL,0.0027,0.2819,,0.149
0.1755,0.3927,0.0,0.0795,ZEELEARN,0.1528,0.7254,,0.072
0.1688,0.0868,0.0,0.5957,BHARTIARTL,0.0002,0.8383,,0.9512
0.0507,0.8128,0.0311,0.0824,LAOPALA,0.0397,0.8386,,0.4307
0.1085,0.1905,0.12,0.0329,IMPAL,0.0907,0.228,,0.4208
0.2489,0.0344,0.0,0.0606,GOACARBON,0.1285,0.845,,0.6909
0.1715,0.0742,0.0066,0.1047,HITECHGEAR,0.8479,0.1042,,0.4873
0.341,0.0058,0.0,0.9594,DCBBANK,0.8107,0.0799,,0.9858
0.0824,0.2779,0.0006,0.0071,SUPRAJIT,0.5049,0.1006,,0.7872
0.3112,0.2095,0.0,0.0004,HARRMALAYA,0.0097,0.2827,,0.2326
0.4639,0.0183,0.0,0.1092,TATAPOWER,0.5936,0.3618,,0.2051
0.2944,0.0428,0.0,0.003,MANINDS,0.7705,0.4043,,0.2437
0.244,0.0803,0.0009,0.0005,GILLANDERS,0.1914,0.5586,,0.5353
-0.012,0.7787,0.8524,0.2441,GRUH,0.6976,0.4724,,0.9774
0.0566,0.5715,0.0132,0.131,VMART,0.398,0.1009,,0.2552
0.3263,0.0815,0.0,0.6623,CESC,0.7243,0.8104,,0.1415
0.102,0.1999,0.0319,0.1191,SMARTLINK,0.3266,0.3632,,0.6708
0.2688,0.8769,0.0,0.0,TIRUMALCHM,0.3301,0.118,,0.9227
0.2601,0.0057,0.0002,0.2636,RUCHISOYA,0.5165,0.5819,,0.4575
-0.016,0.9746,0.597,0.5079,MANGCHEFER,0.8396,0.178,,0.7429
0.2195,0.2648,0.0003,0.021,TNPL,0.8171,0.4695,,0.1408
0.1742,0.0013,0.0334,0.7245,ONMOBILE,0.0023,0.2374,,0.461
0.1229,0.0084,0.6116,0.0909,DQE,0.0322,0.3669,,0.7725
0.1506,0.0297,0.0062,0.2352,SUMEETINDS,0.1428,0.2766,,0.4189
0.1017,0.7106,0.0001,0.0701,FLFL,0.7595,0.7744,,0.6285
0.1329,0.2814,0.0271,0.2955,KSBPUMPS,0.01,0.0567,,0.4668
0.1581,0.9464,0.0,0.0168,RAINBOWPAP,0.8764,0.2583,,0.8923
0.124,0.4533,0.0001,0.0016,MARKSANS,0.2267,0.3801,,0.7817
0.1312,0.8584,0.0001,0.0076,VARDMNPOLY,0.1794,0.803,,0.4382
0.1673,0.0003,0.1739,0.7803,MEGASOFT,0.0991,0.802,,0.9111
0.1366,0.4441,0.0002,0.3105,BAJAJ-AUTO,0.6672,0.6712,,0.0445
0.5511,0.0,0.0,0.0,SYNDIBANK,0.8016,0.225,,0.4801
0.1996,0.0391,0.0035,0.2382,ADFFOODS,0.3258,0.9768,,0.233
0.055,0.2874,0.0432,0.4372,BRITANNIA,0.0407,0.0227,,0.3704
0.2028,0.4832,0.0,0.0001,IMFA,0.0002,0.3766,,0.7168
0.286,0.0409,0.0,0.0963,CAPF,0.0019,0.2715,,0.2915
0.0878,0.4275,0.0005,0.0343,OFSS,0.0464,0.6366,,0.9515
0.54,0.0,0.0,0.0131,DENABANK,0.0575,0.992,,0.0787
0.136,0.012,0.0163,0.8494,SUNFLAG,0.2703,0.2633,,0.4319
0.1854,0.3115,0.0,0.0008,NUCLEUS,0.0032,0.5667,,0.6673
0.0806,0.4669,0.0006,0.6282,GPPL,0.6898,0.0229,,0.7648
0.4119,0.0057,0.0,0.4662,STCINDIA,0.8221,0.5878,,0.227
0.4166,0.0087,0.0,0.1778,JSWENERGY,0.6631,0.3722,,0.4325
0.2995,0.5012,0.0,0.0012,DELTACORP,0.7295,0.0657,,0.7969
0.2105,0.0018,0.0051,0.2201,JOCIL,0.4815,0.4745,,0.1179
0.061,0.8541,0.0404,0.0123,APLAPOLLO,0.21,0.1447,,0.7387
0.2059,0.0906,0.0,0.7241,HEROMOTOCO,0.1906,0.3756,,0.0008
0.2576,0.2664,0.0,0.1651,ARVIND,0.0099,0.4291,,0.1027
0.3973,0.0361,0.0,0.8742,IRB,0.1792,0.0447,,0.2111
0.0751,0.2772,0.0684,0.1375,DCMSHRIRAM,0.3779,0.1297,,0.6921
0.1558,0.0404,0.2423,0.0191,MARALOVER,0.3404,0.6041,,0.1234
0.1341,0.0133,0.0327,0.996,OCL,0.6177,0.0594,,0.5324
0.1024,0.5263,0.0001,0.11,M&M,0.1847,0.2582,,0.3209
0.2445,0.0099,0.0014,0.0285,HSCL,0.6538,0.8732,,0.9852
0.0829,0.3779,0.0476,0.3412,SKIL,0.1351,0.0444,,0.245
0.4098,0.0067,0.0,0.01,CHENNPETRO,0.0952,0.3394,,0.4575
0.1996,0.3659,0.0003,0.0001,PANORAMUNI,0.9644,0.7434,,0.3569
0.0598,0.1808,0.9722,0.4044,HDFCMFGETF,0.1057,0.8352,,0.0127
0.1714,0.277,0.0,0.4348,UBL,0.0963,0.9205,,0.7464
0.2686,0.6976,0.0,0.0099,INEOSSTYRO,0.0862,0.6972,,0.0942
0.3867,0.0,0.0,0.0352,BAJAJHIND,0.7198,0.963,,0.2662
0.2602,0.5124,0.0001,0.0015,CANFINHOME,0.0304,0.1198,,0.1422
0.0498,0.0134,0.1301,0.1394,INFY,0.299,0.1915,,0.0232
0.237,0.0184,0.0,0.9811,SARDAEN,0.0177,0.452,,0.1555
0.0742,0.3146,0.0167,0.0017,NIITTECH,0.0533,0.5411,,0.8493
0.241,0.0066,0.0054,0.0453,ZUARIGLOB,0.0832,0.6541,,0.5245
0.2448,0.059,0.0012,0.9575,DHFL,0.5793,0.5089,,0.0122
0.3945,0.0003,0.0,0.0046,AUTOIND,0.0761,0.1316,,0.484
0.0033,0.1961,0.1797,0.4381,IVZINGOLD,0.0492,0.775,,0.9265
0.5271,0.0,0.0,0.0125,MMTC,0.005,0.4575,,0.277
0.162,0.6804,0.0002,0.4237,RAIN,0.3693,0.8438,,0.2939
0.0875,0.0306,0.2774,0.5606,SKMEGGPROD,0.0039,0.0,,0.4046
0.1799,0.0818,0.0327,0.0047,RPGLIFE,0.2852,0.7719,,0.3392
0.2397,0.8855,0.0,0.4365,CONCOR,0.1382,0.1814,,0.0825
0.0748,0.1573,0.0002,0.1041,SHRIRAMCIT,0.4877,0.1404,,0.6228
0.1582,0.1256,0.0054,0.1167,LAKSHMIEFL,0.778,0.2153,,0.5418
0.0065,0.7126,0.2268,0.9596,GLAXO,0.1082,0.5889,,0.9864
0.2378,0.0071,0.0,0.5846,KALPATPOWR,0.0365,0.1017,,0.1169
0.0969,0.1136,0.0369,0.1812,KILITCH,0.7172,0.5978,,0.7528
0.0353,0.7332,0.0182,0.886,BRFL,0.1307,0.5177,,0.4554
0.1208,0.6506,0.0012,0.0151,ACCELYA,0.0436,0.8768,,0.5137
0.3125,0.4087,0.0,0.0014,JINDRILL,0.1663,0.1323,,0.8668
0.3525,0.1355,0.0,0.519,TATACOMM,0.6753,0.796,,0.9035
0.1802,0.2507,0.0004,0.0102,AHLUCONT,0.6891,0.0076,,0.778
0.4001,0.4739,0.0,0.8405,GODREJIND,0.2072,0.3355,,0.1302
0.3579,0.5097,0.0,0.0708,TATAMOTORS,0.0001,0.5334,,0.1604
0.1104,0.4062,0.0055,0.0094,FELDVR,0.7282,0.7843,,0.2512
0.3237,0.0722,0.0,0.0062,PLASTIBLEN,0.9712,0.2207,,0.6713
0.1506,0.1077,0.0201,0.0601,ABGSHIP,0.93,0.3917,,0.3685
0.2273,0.7672,0.0,0.8527,M50,0.4643,0.3308,,0.1461
0.5326,0.0,0.0,0.0,ALBK,0.4826,0.2796,,0.8966
0.0758,0.015,0.3592,0.6113,AUTOAXLES,0.9966,0.0099,,0.7043
0.2769,0.589,0.0,0.0106,ROLTA,0.0042,0.6523,,0.1072
0.1307,0.445,0.0036,0.01,GUFICBIO,0.2886,0.4816,,0.9916
0.1178,0.6857,0.0003,0.0391,AKZOINDIA,0.5352,0.3109,,0.5294
0.076,0.4308,0.0206,0.0976,SOMANYCERA,0.4191,0.1244,,0.905
0.2879,0.0252,0.0,0.0027,ASHAPURMIN,0.3652,0.3689,,0.1928
